qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
122,What kind of relationship do the man and the woman have with each other?,0,0gqxDPO3I9g,They have a professional relationship.,They have a friendly relationship.,They have a romantic relationship.,They have a romantic relationship.,0,60
123,Why does the man rub his hands together?,0,0gqxDPO3I9g,He is trying to remove food crumbs from his sandwich.,The man is trying to keep his hands warm.,He is coming up with an evil plan.,The man is nervous about the upcoming storm.,0,60
124,What is the tone of the conversation between the younger man and the older man?,0,0o5QeWZtgnY,"The conversation is serious, but with care shown by the older man.",The younger man is frustrated with the older man's lack of understanding.,"The conversation is lighthearted, with both participants joking frequently.",The younger man is trying to impress the older man with his knowledge.,0,60
125,What is the younger man feeling?,3,0o5QeWZtgnY,He is confident about being a team captain.,He is excited to become a team captain.,The younger man is anxious about the upcoming game.,He is confused and worried about the prospect of being a team captain.,0,60
126,Why does the older man interrupt the younger man?,3,0o5QeWZtgnY,He doesn't want to forget what he wants to say.,The older man wants to stop the conversation.,The older man wants to correct the younger man.,He wants to cut off a destructive train of thought.,0,60
127,Why does the younger man look to the side?,2,0o5QeWZtgnY,He is distracted by a bird flying overhead.,He hears a strange noise and wants to investigate what it is.,He wants to look for another person to serve in the role he's being asked to be in.,He is distracted by something and can't collect his thoughts.,0,60
128,Why does the younger man not want to be the captain of his team?,3,0o5QeWZtgnY,Rick doesn't want to be captain because he thinks it's a waste of time.,Rick doesn't want to be captain because he doesn't think the team captain likes him.,He doesn't want to be in a leadership position.,He doesn't think that the other team captain likes him.,0,60
129,How does the older man feel?,1,0pPOxAQwRgQ,The older man is feeling nostalgic about his childhood.,He is stunned to find out he is the woman's father.,The older man is feeling frustrated about his current situation.,He is overjoyed to find out he is the woman's father.,0,60
130,What is the woman's attitude towards the older man?,2,0pPOxAQwRgQ,She is happy to have him in her life.,The woman is jealous of the older man.,She is skeptical of him and angry at him.,The woman is indifferent towards the older man.,0,60
131,Why does the woman repeat her question?,2,0pPOxAQwRgQ,She is frustrated with his lack of attention.,She wants to clarify something she didn't understand.,She is upset about his lack of response.,She does not think the older man heard it.,0,60
132,Why does the younger man put his hand on the woman's shoulder?,0,0pPOxAQwRgQ,"He wants to show that he still cares about her, even though he is walking away.",He wants to have a romantic relationship with her.,The younger man wants to comfort the woman.,The younger man wants to console the woman.,0,60
133,Why is older man's gaze so focused on the letter?,3,0pPOxAQwRgQ,The letter contains a map to a hidden treasure.,He is having trouble reading the handwriting.,The letter contains a recipe for a delicious cake.,It contains shocking information.,0,60
134,Does the man in black feel lucky?,0,17PtS1Qx8kU,The man in black feels lucky but proud of his work.,The man in black does not feel lucky because he knows his success comes from having money.,The man in black felt what the black man felt.,The man in black is discussing the weather.,0,58
135,The man in the grey shirt's nodding suggests that he,0,17PtS1Qx8kU,The man in grey's nodding means he wants the man in black to continue speaking.,He nods to indicate he disagrees.,He nods in agreement.,the man in black that he needs to wrap up his speech quickly.,0,58
136,The man on the left was mentioning about some features he launched for his product. What did he feel about the platform that he launched such features on?,3,17PtS1Qx8kU,He was confused about the platform and its capabilities.,The man on the left was a little disappointed at the platform given its rate of development.,He was disappointed with the platform and its performance.,He was surprised and thankful that the platform developed in the same fashion as his product.,0,58
137,The man on the left's fidgeting movements suggest that he was,0,17PtS1Qx8kU,feeling a little nervous,The man on the left's fidgeting movements suggest that he was agitated by something unrelated to the situation at hand.,He is not feeling nervous.,He is trying to stay awake.,0,58
138,What did the man on the left think about the particular platform he used for his product?,1,17PtS1Qx8kU,He thinks that the platform is not user-friendly.,"He thought that it was great for the product itself, but he wanted something more for the new features it has.",He thought that it was enough even to support the core product.,He thinks that the platform is not worth the investment.,0,58
139,Why did the man on the left move his hand along his leg?,0,17PtS1Qx8kU,The man on the left moves his hand along his leg because he wants to be more comfortable on the stool.,The man on the left is trying to hide something in his pocket.,The man on the left is trying to distract the other man with his hand movements.,He was trying to get the other man to talk to him.,0,58
140,Why does the man in black want to expand his company?,1,17PtS1Qx8kU,The man in black wants to show that he agrees with what the man in the hat is saying to expand his company.,The man in black wants to expand his company so that he can become more successful and famous.,There is no incorrect answer mentioned in the given question.,The man in black wants to hire more employees to decorate his office.,0,58
141,Why was the timeline the man in black looked at earlier funny?,0,17PtS1Qx8kU,The man thought the timeline was funny because it coincided with his own company's growth.,The man in plaid finds the timeline amusing because it reminds him of a joke.,The man in the suit is laughing because he spilled coffee on his pants.,The timeline was funny to the man in black because it had jokes about his company.,0,58
